ax,ay,az,gx,gy,gz
-3.01533,1.35079,8.58854,0.20225,1.06452,0.50961
-4.91698,1.04782,8.97055,0.20531,1.05852,0.50734
-3.83203,1.43102,8.658,0.20491,1.02828,0.49242
-3.29076,1.24661,8.46999,0.20611,1.02548,0.49415
-4.40085,1.28972,8.98252,0.20651,1.04147,0.49535
-3.66318,1.18074,8.49274,0.20784,1.06119,0.50841
-3.59852,1.23104,8.4137,0.2229,1.11475,0.53759
-3.43805,1.35917,8.43885,0.24661,1.19842,0.57809
-5.69775,1.59269,8.09996,0.28178,1.27063,0.58089
-4.32181,1.85015,8.21372,0.24754,1.05506,0.50828
-4.79962,1.99745,8.19097,0.23609,1.0484,0.50894
-4.79124,1.84536,8.01733,0.22383,1.0408,0.49775
-4.73256,1.49449,8.25324,0.20877,0.96713,0.48203
-4.22242,1.57353,8.49394,0.24221,0.93702,0.46231
-2.28964,1.19152,7.99577,0.29258,1.02082,0.36479
-6.59708,2.17947,8.39933,0.41062,1.41252,0.22516
-5.93007,2.21659,7.69161,0.37238,1.28528,0.37225
-5.37802,2.49801,7.51677,0.3107,1.06265,0.43553
-5.48579,2.41298,7.34672,0.30217,1.05519,0.46511
-4.97925,1.95434,7.51677,0.28272,1.00963,0.46817
-5.35526,1.76513,7.80297,0.28138,0.98205,0.45911
-5.01876,1.87171,7.60299,0.29551,0.99284,0.47444
-4.64275,1.81782,7.29523,0.30723,0.98711,0.48549
-5.94444,2.78182,7.08926,0.32788,1.01922,0.49908
-5.74685,2.96144,6.88927,0.32202,0.99977,0.49229
-5.36844,2.22138,6.98148,0.3083,0.96353,0.47564
-5.45226,2.52675,7.05812,0.31682,0.97792,0.48043
-5.69416,2.27886,7.33116,0.32202,0.96659,0.48443
-5.49417,2.02379,7.00184,0.33321,0.96113,0.48696
-5.4822,3.05724,6.57672,0.3496,0.97978,0.49815
-6.51805,3.08958,6.67133,0.34707,0.96792,0.49535
-5.63428,2.82373,6.38392,0.34134,0.95966,0.48616
-5.49417,2.73631,6.62223,0.3436,0.96992,0.49136
-6.11928,2.63692,6.87011,0.35733,0.98258,0.50348
-5.88337,2.86085,6.43422,0.37731,1.0063,0.50481
-5.8187,3.2225,6.13005,0.36972,0.9606,0.50095
-6.54319,3.56618,6.17795,0.36199,0.93875,0.49962
-6.06658,3.42967,5.95402,0.35306,0.9161,0.48403
-5.94683,2.89558,6.154,0.3544,0.91183,0.48296
-6.23424,3.1746,6.45458,0.35733,0.93289,0.48483
-6.02587,3.05724,6.02467,0.35479,0.94368,0.48696
-6.70366,3.46559,5.85822,0.37105,0.96086,0.49389
-6.76713,3.82485,5.56004,0.37585,0.90624,0.46684
-6.05461,3.60929,5.49657,0.34653,0.82443,0.4326
-6.26657,3.63564,5.6726,0.31762,0.7814,0.40915
